Project,Event,Year,PCG,Collection,Station_Type,Date,Start_Time_GMT,Samp_Dur,Start_Latitude,Start_Longitude,Start_Depth,LastOfTemp,No Readable Frames,Turbidity,Biotic_Density,Biotic_Type,Biotic_Height,Substrate,Size,Relief,Current_Direction,Current_Magnitude,MeanCount,SumCount,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
P05,2011-91,2011,P05110422324,110422,Random,8/10/2011,11:57,94,32.02241516,-79.44421387,49,19.35790062,11,1,85,Algae,Low,0,N/A,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1010,2014,T60143062324,143062,Random,5/3/2014,12:13,97,30.43419456,-80.48802185,38,24.0276,11,0,55,Other,High,55,Continuous,High,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1004,2014,T60143019324,143019,Random,5/1/2014,11:49,116,27.45656776,-80.07402802,24,20.4005375,12,1,25,Algae,High,5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1108,2012,T60128203324,128203,Random2013,8/11/2012,19:28,91,34.60724258,-76.19949341,37,21.63185024,12,0,15,Other,High,22.5,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1100,2013,T60133642324,133642,Random2014,7/23/2013,14:33,98,31.52039528,-79.82588959,50,17.91757059,13,1,35,Unknown,Low,10.5,Continuous,Moderate,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-98,2013,P05130650324,130650,Random,10/2/2013,14:26,85,34.48173141,-75.87857819,75,19.33659935,13,0,10,Other,High,10,Continuous,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-251,2014,P05140269324,140269,Random,7/10/2014,18:49,99,32.24024963,-79.70430756,28,26.28300095,14,1,10,Other,High,7.5,Coarse,Low,Sideways,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1012,2014,T60143073324,143073,Random,5/3/2014,17:32,86,30.49457359,-80.51941681,37,23.374388,14,0,3,Other,High,1.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-61,2013,P05130405324,130405,Random,8/8/2013,11:11,104,34.91841125,-75.52308655,51,23.71389961,14,0,5,Other,High,2,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1025,2012,T60123162324,123162,Random,5/1/2012,12:27,99,31.54353905,-79.73251343,61,16.95023003,14,1,10,Unknown,Low,5,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-10,2013,P05130066324,130066,Random,5/15/2013,17:51,97,32.48833084,-78.88832855,44,22.32309914,14,0,10,Other,High,2,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-61,2013,P05130404324,130404,Random,8/8/2013,11:06,99,34.9203186,-75.53143311,49,23.71389961,15,0,7.5,Other,Low,12.5,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1026,2013,T60133150324,133150,Random,5/25/2013,15:12,106,30.50415993,-80.57634735,38,24.01055455,15,0,0,N/A,N/A,1,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2013-1020,2013,T60133108324,133108,Random,5/9/2013,17:03,80,31.25397682,-79.87758636,54,22.37250769,16,0,5,Unknown,Low,10,Continuous,Low,Sideways,Weak,0.25,N/A,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1001,2014,T60143001324,143001,Random,4/30/2014,11:52,87,29.66699219,-80.84313202,29,20.86925,16,1,3,Algae,Low,1,Coarse,Low,Away,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-61,2013,P05130402324,130402,Random,8/8/2013,10:57,92,34.92277145,-75.52275848,50,23.71389961,16,0,20,Other,High,20,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2012-1105,2012,T60128184324,128184,Random2013,8/10/2012,14:58,116,34.59380341,-76.31111145,27,26.8767286,16,1,25,Other,High,20,Continuous,Moderate,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-267,2014,P05140379324,140379,Random,8/13/2014,15:48,96,33.26683044,-78.44232941,26,25.83099937,16,1,3,Other,Low,0.5,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-286,2014,P05140510324,140510,Random,9/15/2014,12:04,91,33.28932953,-77.82216644,29,27.65699959,16,0,20,Algae,High,5,Continuous,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1009,2014,T60143053324,143053,Random,5/2/2014,17:55,84,28.27146721,-80.14022827,41,20.82272857,16,1,1.5,Algae,Low,1.5,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1015,2014,T60143093324,143093,Random,5/4/2014,14:46,95,30.46925163,-80.20543671,53,20.22757857,16,0,3.5,Other,High,3.5,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-85,2013,P05130566324,130566,Random,8/22/2013,11:20,97,32.86315918,-78.25666809,47,24.09420013,16,0,17.5,Other,High,7.5,Coarse,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-55,2013,P05130361324,130361,Random,7/31/2013,11:12,102,32.2594986,-79.17417145,49,19.17889977,16,0,1.5,Unknown,Low,2.5,Continuous,Low,Towards,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2014-251,2014,P05140268324,140268,Random,7/10/2014,18:43,100,32.24203873,-79.70065308,28,26.28300095,17,1,15,Other,High,7.5,Coarse,Low,Towards,Strong,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,2013-19,2013,P05130132324,130132,Random,5/22/2013,17:04,105,32.7784996,-78.65167236,33,21.50860023,17,0,5,Other,Low,5,Coarse,Low,Away,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2014-1177,2014,T60144132324,144132,Random,9/10/2014,11:56,76,29.78270149,-80.29573059,55,22.27395909,17,1,12.5,Other,Low,3,Coarse,Low,Sideways,Weak,0,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
